POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,season_year,team
1,Chris Gayle,15,14,2,733,128*,61.08,456,160.74,1,7,46,59,2012,RCB
2,Gautam Gambhir,17,17,2,590,93,39.33,411,143.55,0,6,64,17,2012,KKR
3,Shikhar Dhawan,15,15,1,569,84,40.64,439,129.61,0,5,58,18,2012,DEC
4,Ajinkya Rahane,16,16,2,560,103*,40.0,433,129.33,1,3,73,10,2012,RR
5,Virender Sehwag,16,16,1,495,87*,33.0,307,161.23,0,5,57,19,2012,DC
6,Cameron White,13,13,2,479,78,43.54,320,149.68,0,5,41,20,2012,DEC
7,Rahul Dravid,16,16,0,462,58,28.87,412,112.13,0,2,63,4,2012,RR
8,Suresh Raina,19,18,1,441,73,25.94,325,135.69,0,1,36,19,2012,CSK
9,Rohit Sharma,17,16,2,433,109*,30.92,342,126.6,1,3,39,18,2012,MI
10,Mandeep Singh,16,16,0,432,75,27.0,342,126.31,0,2,53,7,2012,PBKS
11,Jacques Kallis,17,17,1,409,79,25.56,384,106.51,0,2,34,10,2012,KKR
12,Robin Uthappa,16,16,1,405,69,27.0,343,118.07,0,2,38,10,2012,PWI
13,Faf du Plessis,13,12,0,398,73,33.16,304,130.92,0,3,29,17,2012,CSK
14,David Hussey,16,15,3,396,68*,33.0,305,129.83,0,2,28,17,2012,PBKS
15,Dwayne Bravo,19,16,8,371,48,46.37,264,140.53,0,0,20,20,2012,CSK
16,Virat Kohli,16,15,2,364,73*,28.0,326,111.65,0,2,33,9,2012,RCB
17,Steve Smith,15,14,5,362,47*,40.22,267,135.58,0,0,24,14,2012,PWI
18,MS Dhoni,19,17,5,358,51*,29.83,278,128.77,0,1,26,9,2012,CSK
19,Owais Shah,13,13,4,340,76,37.77,256,132.81,0,3,24,16,2012,RR
20,Shaun Marsh,13,13,2,336,68*,30.54,280,120.0,0,2,39,7,2012,PBKS
21,Murali Vijay,14,14,1,336,113,25.84,267,125.84,1,0,39,10,2012,CSK
22,Mahela Jayawardena,16,15,3,335,56*,27.91,298,112.41,0,3,39,3,2012,DC
