POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,season_year,team
23,Ambati Rayudu,17,15,6,333,81*,37.0,252,132.14,0,2,21,14,2012,MI
24,Sachin Tendulkar,13,13,2,324,74,29.45,283,114.48,0,2,39,4,2012,MI
25,AB de Villiers,16,13,5,319,64*,39.87,198,161.11,0,3,26,15,2012,RCB
26,Kevin Pietersen,8,8,3,305,103*,61.0,207,147.34,1,1,22,20,2012,DC
27,Brendon McCullum,12,12,0,289,56,24.08,283,102.12,0,1,37,3,2012,KKR
28,Tillakaratne Dilshan,10,9,1,285,76*,35.62,261,109.19,0,3,33,5,2012,RCB
29,Sourav Ganguly,15,15,0,268,45,17.86,271,98.89,0,0,30,4,2012,PWI
30,Michael Hussey,8,8,0,261,56,32.62,236,110.59,0,2,28,8,2012,CSK
31,Manoj Tiwary,16,15,5,260,59,26.0,246,105.69,0,1,21,3,2012,KKR
32,David Warner,8,8,1,256,109*,36.57,156,164.1,1,1,28,14,2012,DC
33,Jesse Ryder,11,11,1,256,86,25.6,212,120.75,0,2,23,8,2012,PWI
34,Shane Watson,7,7,1,255,90*,42.5,168,151.78,0,2,26,14,2012,RR
35,Naman Ojha,18,16,5,255,64*,23.18,224,113.83,0,1,21,13,2012,DC
36,Brad Hodge,12,12,4,245,48*,30.62,175,140.0,0,0,18,9,2012,RR
37,JP Duminy,9,9,6,244,74,81.33,190,128.42,0,2,13,11,2012,DEC
38,Dinesh Karthik,17,14,1,238,44,18.3,213,111.73,0,0,30,2,2012,MI
39,Mayank Agarwal,16,12,1,225,64*,20.45,158,142.4,0,1,19,15,2012,RCB
40,James Franklin,12,11,2,220,79,24.44,223,98.65,0,1,15,6,2012,MI
41,Kieron Pollard,14,11,2,220,64,24.44,159,138.36,0,2,15,14,2012,MI
42,Ashok Menaria,15,12,1,220,40,20.0,202,108.91,0,0,14,8,2012,RR
43,Manvinder Bisla,7,7,0,213,89,30.42,160,133.12,0,1,16,10,2012,KKR
44,Kumar Sangakkara,12,12,1,200,82,18.18,184,108.69,0,1,21,4,2012,DEC
45,Ross Taylor,12,12,2,197,55,19.7,171,115.2,0,1,12,7,2012,DC
46,Subramaniam Badrinath,15,9,2,196,57,28.0,181,108.28,0,1,23,2,2012,CSK
47,Parthiv Patel,14,13,2,194,45,17.63,165,117.57,0,0,19,4,2012,DEC
48,Yusuf Pathan,17,16,6,194,40*,19.4,169,114.79,0,0,10,7,2012,KKR
49,Saurabh Tiwary,15,11,3,191,36*,23.87,170,112.35,0,0,9,8,2012,RCB
50,Ravindra Jadeja,19,14,2,191,48,15.91,151,126.49,0,0,13,9,2012,CSK
51,Azhar Mahmood,11,10,2,186,36,23.25,142,130.98,0,0,16,8,2012,PBKS
52,Irfan Pathan,17,12,5,176,42*,25.14,126,139.68,0,0,14,6,2012,DC
53,Adam Gilchrist,7,7,2,172,64*,34.4,143,120.27,0,1,21,4,2012,PBKS
54,Dwayne Smith,7,6,2,157,87*,39.25,98,160.2,0,1,18,7,2012,MI
55,Yogesh Nagar,13,8,3,152,43*,30.4,133,114.28,0,0,13,3,2012,DC
56,Dan Christian,7,7,2,145,39,29.0,118,122.88,0,0,8,6,2012,DEC
57,Manish Pandey,10,9,2,143,80*,20.42,112,127.67,0,1,12,6,2012,PWI
58,Nitin Saini,10,10,0,140,50,14.0,141,99.29,0,1,16,0,2012,PBKS
59,Venugopal Rao,10,7,1,132,36,22.0,126,104.76,0,0,8,5,2012,DC
60,Angelo Mathews,9,8,1,127,35,18.14,108,117.59,0,0,5,4,2012,PWI
61,Debabrata Das,15,10,7,126,35*,42.0,93,135.48,0,0,9,6,2012,KKR
62,Marlon Samuels,8,8,1,124,46,17.71,123,100.81,0,0,7,5,2012,PWI
63,Mithun Manhas,10,7,3,120,42*,30.0,96,125.0,0,0,10,4,2012,PWI
64,Daniel Harris,4,4,0,111,47,27.75,101,109.9,0,0,11,5,2012,DEC
65,Harbhajan Singh,17,11,2,108,33,12.0,80,135.0,0,0,14,3,2012,MI
66,Albie Morkel,16,12,5,107,28,15.28,68,157.35,0,0,5,6,2012,CSK
67,Piyush Chawla,16,12,4,106,21*,13.25,88,120.45,0,0,9,4,2012,PBKS
68,David Miller,6,6,3,98,34*,32.66,75,130.66,0,0,6,4,2012,PBKS
69,Michael Clarke,6,6,0,98,41,16.33,93,105.37,0,0,12,0,2012,PWI
70,Shakib Al Hasan,8,7,1,91,42,15.16,74,122.97,0,0,6,3,2012,KKR
71,Stuart Binny,8,6,2,90,30,22.5,67,134.32,0,0,9,3,2012,RR
72,Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2,2012,PWI
73,Gurkeerat Mann Singh,5,4,1,86,29*,28.66,52,165.38,0,0,12,2,2012,PBKS
74,Richard Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4,2012,MI
75,Herschelle Gibbs,3,3,1,81,66*,40.5,88,92.04,0,1,8,2,2012,MI
76,Laxmi Ratan Shukla,11,8,2,75,26,12.5,57,131.57,0,0,4,5,2012,KKR
77,Akshath Reddy,5,3,0,73,42,24.33,59,123.72,0,0,6,2,2012,DEC
78,Bipul Sharma,5,4,1,72,35*,24.0,47,153.19,0,0,6,3,2012,PBKS
79,Shreevats Goswami,11,6,1,69,24,13.8,67,102.98,0,0,4,1,2012,RR
80,Vinay Kumar,15,7,2,68,25,13.6,62,109.67,0,0,3,2,2012,RCB
81,Siddharth Chitnis,6,4,1,66,38,22.0,62,106.45,0,0,7,1,2012,PBKS
82,Johan Botha,11,7,3,58,14*,14.5,54,107.4,0,0,4,1,2012,RR
83,Aaron Finch,2,2,0,55,30,27.5,51,107.84,0,0,8,0,2012,DC
84,Lasith Malinga,14,6,0,55,17,9.16,53,103.77,0,0,4,3,2012,MI
85,Callum Ferguson,4,4,0,50,23,12.5,63,79.36,0,0,3,0,2012,PWI
86,Andre Russell,4,2,0,47,31,23.5,26,180.76,0,0,3,3,2012,DC
87,Andrew McDonald,4,3,1,47,30,23.5,35,134.28,0,0,6,2,2012,RCB
88,Abhishek Nayar,4,4,1,45,24,15.0,49,91.83,0,0,2,1,2012,PBKS
89,Brett Lee,10,3,1,42,25,21.0,20,210.0,0,0,2,4,2012,KKR
90,Bhuvneshwar Kumar,11,9,6,40,11*,13.33,40,100.0,0,0,4,0,2012,PWI
91,Kevon Cooper,6,4,2,38,14,19.0,20,190.0,0,0,3,3,2012,RR
92,Bharat Chipli,5,4,1,37,25*,12.33,35,105.71,0,0,3,2,2012,DEC
93,Unmukt Chand,2,2,0,36,18,18.0,34,105.88,0,0,2,3,2012,DC
94,Pawan Negi,8,4,2,36,14,18.0,29,124.13,0,0,4,1,2012,DC
95,Ashish Reddy,9,6,2,35,10*,8.75,29,120.68,0,0,3,1,2012,DEC
96,Praveen Kumar,16,7,4,35,10,11.66,30,116.66,0,0,2,1,2012,PBKS
97,Rajat Bhatia,17,6,3,35,12,11.66,28,125.0,0,0,4,0,2012,KKR
98,Robin Peterson,5,5,2,32,16*,10.66,30,106.66,0,0,3,1,2012,MI
99,Daniel Vettori,9,6,2,31,20,7.75,26,119.23,0,0,3,1,2012,RCB
100,Paul Valthaty,6,6,0,30,13,5.0,51,58.82,0,0,4,0,2012,PBKS
101,Murali Kartik,11,4,4,26,14*,0.0,21,123.8,0,0,1,1,2012,PWI
102,Dishant Yagnik,5,3,2,25,10*,25.0,13,192.3,0,0,5,0,2012,RR
103,Abhishek Jhunjhunwala,5,3,1,24,19,12.0,26,92.3,0,0,1,1,2012,DEC
104,Ryan ten Doeschate,3,3,1,21,11,10.5,21,100.0,0,0,1,1,2012,KKR
105,Alfonso Thomas,4,2,0,19,12,9.5,15,126.66,0,0,1,1,2012,PWI
106,Srikkanth Anirudha,4,2,2,19,18*,0.0,7,271.42,0,0,1,2,2012,CSK
107,Wayne Parnell,6,5,1,19,11,4.75,27,70.37,0,0,2,0,2012,PWI
108,Dale Steyn,12,6,1,19,7,3.8,21,90.47,0,0,0,1,2012,DEC
109,Ryan Harris,5,2,1,18,15*,18.0,11,163.63,0,0,1,1,2012,PBKS
110,Ankit Sharma,9,4,1,18,15,6.0,13,138.46,0,0,0,2,2012,DEC
111,Ravichandran Ashwin,19,5,2,18,8,6.0,15,120.0,0,0,2,0,2012,CSK
112,Cheteshwar Pujara,3,3,0,17,11,5.66,22,77.27,0,0,1,1,2012,RCB
113,Amit Mishra,14,5,2,16,8*,5.33,20,80.0,0,0,1,0,2012,DEC
114,Tirumalasetti Suman,2,2,0,15,10,7.5,19,78.94,0,0,1,1,2012,MI
115,Ishank Jaggi,3,3,1,15,10*,7.5,21,71.42,0,0,0,0,2012,DEC
116,Paras Dogra,3,3,1,15,6,7.5,24,62.5,0,0,0,0,2012,PBKS
117,Harmeet Singh Bansal,7,2,1,15,14,15.0,7,214.28,0,0,3,0,2012,PBKS
118,Brad Hogg,9,3,1,15,13,7.5,16,93.75,0,0,1,0,2012,RR
119,Harshal Patel,12,3,1,15,10,7.5,15,100.0,0,0,1,0,2012,RCB
120,Mohammad Kaif,1,1,0,14,14,14.0,16,87.5,0,0,1,0,2012,RCB
121,Sreenath Aravind,1,1,1,14,14*,0.0,8,175.0,0,0,3,0,2012,RCB
122,James Faulkner,2,2,1,14,11*,14.0,13,107.69,0,0,0,0,2012,PBKS
123,Dimitri Mascarenhas,4,3,0,14,9,4.66,16,87.5,0,0,1,0,2012,PBKS
124,Doug Bracewell,1,1,1,12,12*,0.0,9,133.33,0,0,1,0,2012,DC
125,Zaheer Khan,16,5,3,12,11*,6.0,17,70.58,0,0,1,0,2012,RCB
126,Krishnakant Upadhyay,1,1,1,11,11*,0.0,8,137.5,0,0,0,1,2012,PWI
127,Ankeet Chavan,8,2,1,11,7*,11.0,8,137.5,0,0,2,0,2012,RR
128,Ashish Nehra,13,2,2,11,9*,0.0,12,91.66,0,0,1,0,2012,PWI
129,Dhawal Kulkarni,2,1,1,10,10*,0.0,5,200.0,0,0,2,0,2012,MI
130,Sunil Narine,15,2,1,9,9*,9.0,7,128.57,0,0,2,0,2012,KKR
131,Clint McKay,2,1,0,8,8,8.0,15,53.33,0,0,0,0,2012,MI
132,Juan Theron,2,1,1,7,7*,0.0,6,116.66,0,0,1,0,2012,DEC
133,Shadab Jakati,15,2,2,7,6*,0.0,12,58.33,0,0,0,0,2012,CSK
134,Chris Lynn,1,1,0,6,6,6.0,9,66.66,0,0,1,0,2012,DEC
135,Harpreet Singh,1,1,0,6,6,6.0,6,100.0,0,0,0,0,2012,PWI
136,Asad Pathan,2,2,1,6,4,6.0,7,85.71,0,0,0,0,2012,RCB
137,Glenn Maxwell,2,2,1,6,3*,6.0,11,54.54,0,0,0,0,2012,DC
138,Wriddhiman Saha,4,1,0,6,6,6.0,14,42.85,0,0,0,0,2012,CSK
139,Bhargav Bhatt,5,1,1,6,6*,0.0,2,300.0,0,0,0,1,2012,PBKS
140,Muttiah Muralitharan,10,2,0,6,6,3.0,9,66.66,0,0,0,0,2012,RCB
141,RP Singh,11,5,3,6,3,3.0,12,50.0,0,0,0,0,2012,MI
142,Nuwan Kulasekara,5,1,1,5,5*,0.0,3,166.66,0,0,1,0,2012,CSK
143,Pragyan Ojha,9,3,1,5,4,2.5,14,35.71,0,0,0,0,2012,MI
144,Siddharth Trivedi,14,1,1,5,5*,0.0,6,83.33,0,0,0,0,2012,RR
145,Mohnish Mishra,1,1,0,4,4,4.0,4,100.0,0,0,1,0,2012,PWI
146,Dwaraka Ravi Teja,2,2,0,4,4,2.0,4,100.0,0,0,1,0,2012,DEC
147,Syed Mohammad,2,1,1,4,4*,0.0,1,400.0,0,0,1,0,2012,RCB
148,Thisara Perera,2,2,1,4,4*,4.0,9,44.44,0,0,0,0,2012,MI
149,Manpreet Gony,6,1,0,4,4,4.0,8,50.0,0,0,0,0,2012,DEC
150,Parvinder Awana,12,2,2,4,4*,0.0,5,80.0,0,0,0,0,2012,PBKS
151,Ali Murtaza,1,1,1,3,3*,0.0,5,60.0,0,0,0,0,2012,PWI
152,Doug Bollinger,6,1,0,3,3,3.0,5,60.0,0,0,0,0,2012,CSK
153,Morne Morkel,16,4,2,3,2*,1.5,5,60.0,0,0,0,0,2012,DC
154,Ashok Dinda,7,1,0,2,2,2.0,5,40.0,0,0,0,0,2012,PWI
155,Rahul Sharma,11,5,1,2,2,0.5,11,18.18,0,0,0,0,2012,PWI
156,Umesh Yadav,17,3,1,2,1*,1.0,7,28.57,0,0,0,0,2012,DC
157,Varun Aaron,8,2,0,1,1,0.5,3,33.33,0,0,0,0,2012,DC
