POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,season_year,team
130,Swapnil Asnodkar,2,2,0,5,5,2.5,4,125.0,0,0,1,0,2010,RR
131,Ramesh Powar,7,2,1,5,3,5.0,8,62.5,0,0,0,0,2010,PBKS
132,Amit Uniyal,2,2,1,4,4*,4.0,7,57.14,0,0,0,0,2010,RR
133,Reetinder Sodhi,3,1,1,4,4*,0.0,2,200.0,0,0,1,0,2010,PBKS
134,Munaf Patel,4,2,1,4,4*,4.0,5,80.0,0,0,0,0,2010,RR
135,Dirk Nannes,9,2,1,4,3,4.0,13,30.76,0,0,0,0,2010,DC
136,Praveen Kumar,12,4,2,4,3*,2.0,8,50.0,0,0,0,0,2010,RCB
137,Arun Karthik,1,1,1,3,3*,0.0,5,60.0,0,0,0,0,2010,CSK
138,Sudeep Tyagi,6,1,1,3,3*,0.0,4,75.0,0,0,0,0,2010,CSK
139,Umesh Yadav,7,1,1,3,3*,0.0,4,75.0,0,0,0,0,2010,DC
140,Pragyan Ojha,16,6,3,3,2,1.0,8,37.5,0,0,0,0,2010,DEC
141,Azhar Bilakhia,1,1,0,2,2,2.0,4,50.0,0,0,0,0,2010,DEC
142,KP Appanna,2,2,1,2,1*,2.0,3,66.66,0,0,0,0,2010,RCB
143,Rohan Gavaskar,2,1,0,2,2,2.0,8,25.0,0,0,0,0,2010,KKR
144,Manpreet Gony,3,1,0,2,2,2.0,6,33.33,0,0,0,0,2010,CSK
145,Dilhara Fernando,5,1,1,2,2*,0.0,2,100.0,0,0,0,0,2010,MI
146,Juan Theron,7,2,0,2,2,1.0,5,40.0,0,0,0,0,2010,PBKS
147,Roelof van der Merwe,1,1,0,1,1,1.0,2,50.0,0,0,0,0,2010,RCB
148,Ajantha Mendis,2,1,1,1,1*,0.0,1,100.0,0,0,0,0,2010,KKR
149,Pankaj Singh,2,1,0,1,1,1.0,2,50.0,0,0,0,0,2010,RCB
150,Shalabh Srivastava,8,2,1,1,1*,1.0,2,50.0,0,0,0,0,2010,PBKS
151,Shane Bond,8,1,0,1,1,1.0,2,50.0,0,0,0,0,2010,KKR
152,Muttiah Muralitharan,12,1,0,1,1,1.0,2,50.0,0,0,0,0,2010,CSK
153,Lasith Malinga,13,2,2,1,1*,0.0,1,100.0,0,0,0,0,2010,MI
