POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,season_year,team
1,Matthew Hayden,12,12,1,572,89,52.0,395,144.81,0,5,60,22,2009,CSK
2,Adam Gilchrist,16,16,0,495,85,30.93,325,152.3,0,3,54,29,2009,DEC
3,Suresh Raina,14,14,0,434,98,31.0,308,140.9,0,2,37,21,2009,CSK
4,JP Duminy,13,12,3,372,62,41.33,325,114.46,0,5,26,11,2009,MI
5,Herschelle Gibbs,14,14,3,371,69*,33.72,331,112.08,0,4,32,12,2009,DEC
6,Brad Hodge,12,12,3,365,73,40.55,310,117.74,0,3,34,9,2009,KKR
7,Sachin Tendulkar,13,13,2,364,68,33.09,303,120.13,0,2,39,10,2009,MI
8,Rohit Sharma,16,16,3,362,52,27.84,315,114.92,0,1,22,18,2009,DEC
9,Jacques Kallis,15,15,2,361,69*,27.76,332,108.73,0,3,37,8,2009,RCB
10,Yuvraj Singh,14,14,2,340,58*,28.33,294,115.64,0,2,25,16,2009,PBKS
11,Kumar Sangakkara,14,13,2,332,60,30.18,324,102.46,0,2,29,5,2009,PBKS
12,MS Dhoni,14,13,5,332,58*,41.5,261,127.2,0,2,22,9,2009,CSK
13,Ravindra Jadeja,13,13,2,295,42,26.81,266,110.9,0,0,21,6,2009,RR
14,Brendon McCullum,13,13,1,285,84*,23.75,239,119.24,0,2,27,12,2009,KKR
15,Ross Taylor,11,11,2,280,81*,31.11,208,134.61,0,1,20,15,2009,RCB
16,Rahul Dravid,13,12,0,271,66,22.58,234,115.81,0,1,28,3,2009,RCB
17,Andrew Symonds,8,8,1,249,60*,35.57,166,150.0,0,1,15,11,2009,DEC
18,Virat Kohli,16,13,2,246,50,22.36,219,112.32,0,1,22,8,2009,RCB
19,Yusuf Pathan,13,13,1,243,62*,20.25,183,132.78,0,1,24,12,2009,RR
20,Tirumalasetti Suman,12,12,2,237,41*,23.7,190,124.73,0,0,18,8,2009,DEC
21,Sanath Jayasuriya,12,12,0,221,52,18.41,192,115.1,0,2,23,7,2009,MI
22,Mahela Jayawardena,10,10,4,219,52*,36.5,165,132.72,0,1,17,7,2009,PBKS
23,Dwayne Bravo,11,10,2,218,70*,27.25,203,107.38,0,2,15,8,2009,MI
24,Dwayne Smith,8,8,0,215,49,26.87,132,162.87,0,0,12,15,2009,DEC
25,Graeme Smith,12,12,1,212,77,19.27,216,98.14,0,1,27,1,2009,RR
26,Irfan Pathan,14,12,2,196,39,19.6,158,124.05,0,0,17,6,2009,PBKS
27,Abhishek Nayar,13,11,2,193,35,21.44,152,126.97,0,0,14,7,2009,MI
28,Sourav Ganguly,13,11,0,189,46,17.18,207,91.3,0,0,13,6,2009,KKR
29,Subramaniam Badrinath,14,11,2,177,59*,19.66,164,107.92,0,1,20,4,2009,CSK
30,Robin Uthappa,15,13,2,175,66*,15.9,170,102.94,0,1,18,3,2009,RCB
31,Chris Gayle,7,7,1,171,44*,28.5,143,119.58,0,0,15,10,2009,KKR
32,Manish Pandey,5,4,2,168,114*,84.0,118,142.37,1,0,17,4,2009,RCB
33,Naman Ojha,8,8,1,168,68,24.0,144,116.66,0,2,11,11,2009,RR
34,Mark Boucher,12,9,4,150,48*,30.0,116,129.31,0,0,8,6,2009,RCB
35,Simon Katich,9,9,0,145,50,16.11,117,123.93,0,1,15,6,2009,PBKS
36,Ajinkya Rahane,8,7,1,144,62*,24.0,123,117.07,0,2,12,3,2009,MI
37,Parthiv Patel,9,9,0,142,36,15.77,126,112.69,0,0,19,2,2009,CSK
38,Ravi Bopara,5,5,0,138,84,27.6,119,115.96,0,1,8,7,2009,PBKS
39,Karan Goel,9,9,1,124,38,15.5,133,93.23,0,0,9,4,2009,PBKS
40,Venugopal Rao,16,13,2,124,32,11.27,114,108.77,0,0,6,3,2009,DEC
41,Roelof van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0,8,8,2009,RCB
42,Sunny Sohal,8,8,0,115,43,14.37,93,123.65,0,0,9,8,2009,PBKS
43,Shane Warne,13,11,3,108,34*,13.5,116,93.1,0,0,6,4,2009,RR
44,Rob Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3,2009,RR
45,David Hussey,4,4,0,98,43,24.5,59,166.1,0,0,7,6,2009,KKR
46,Swapnil Asnodkar,8,8,0,98,44,12.25,93,105.37,0,0,11,4,2009,RR
47,Albie Morkel,12,10,6,97,21*,24.25,70,138.57,0,0,8,4,2009,CSK
48,Kevin Pietersen,6,6,0,93,37,15.5,85,109.41,0,0,8,2,2009,RCB
49,Jacob Oram,11,8,2,88,41*,14.66,93,94.62,0,0,5,4,2009,CSK
50,Harbhajan Singh,13,10,2,84,20,10.5,53,158.49,0,0,6,5,2009,MI
51,Laxmi Ratan Shukla,9,6,1,83,48*,16.6,85,97.64,0,0,5,3,2009,KKR
52,Lee Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,11,0,2009,RR
53,Abhishek Raut,9,7,3,78,36*,19.5,61,127.86,0,0,5,3,2009,RR
54,Wriddhiman Saha,8,7,4,72,25*,24.0,41,175.6,0,0,3,4,2009,KKR
55,Azhar Bilakhia,6,6,2,67,22,16.75,81,82.71,0,0,5,0,2009,DEC
56,Ajit Agarkar,11,7,5,66,39,33.0,57,115.78,0,0,3,3,2009,KKR
57,Dwaraka Ravi Teja,9,6,3,65,27,21.66,70,92.85,0,0,7,0,2009,DEC
58,Praveen Kumar,13,8,3,65,14*,13.0,46,141.3,0,0,1,6,2009,RCB
59,Andrew Flintoff,3,3,1,62,24,31.0,53,116.98,0,0,5,2,2009,CSK
60,Murali Vijay,4,4,0,60,31,15.0,67,89.55,0,0,4,2,2009,CSK
61,Jesse Ryder,5,5,0,56,32,11.2,49,114.28,0,0,9,0,2009,RCB
62,Shreevats Goswami,2,2,0,53,43,26.5,60,88.33,0,0,6,0,2009,RCB
63,Pinal Shah,9,5,2,53,29,17.66,51,103.92,0,0,4,2,2009,MI
64,Johan Botha,3,3,1,47,37,23.5,40,117.5,0,0,5,0,2009,RR
65,Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0,2009,KKR
66,Vinay Kumar,11,8,3,47,12,9.4,44,106.81,0,0,4,1,2009,RCB
67,George Bailey,3,2,0,45,30,22.5,39,115.38,0,0,7,0,2009,CSK
68,Luke Pomersbach,4,4,0,41,26,10.25,49,83.67,0,0,3,1,2009,PBKS
69,Shikhar Dhawan,5,4,0,40,22,10.0,45,88.88,0,0,3,0,2009,MI
70,Dimitri Mascarenhas,5,4,0,39,27,9.75,39,100.0,0,0,4,0,2009,RR
71,Moises Henriques,4,3,1,38,30*,19.0,40,95.0,0,0,2,1,2009,KKR
72,Munaf Patel,11,5,2,33,23*,11.0,26,126.92,0,0,5,0,2009,RR
73,Piyush Chawla,14,10,5,31,8*,6.2,36,86.11,0,0,3,0,2009,PBKS
74,Chaminda Vaas,2,2,1,30,20,30.0,21,142.85,0,0,1,1,2009,DEC
75,Wilkin Mota,8,6,1,30,12,6.0,48,62.5,0,0,0,0,2009,PBKS
76,Brett Lee,5,4,2,28,14*,14.0,34,82.35,0,0,2,1,2009,PBKS
77,Amit Mishra,11,5,2,26,13*,8.66,20,130.0,0,0,2,2,2009,DC
78,Ramesh Powar,9,4,3,23,10,23.0,22,104.54,0,0,2,0,2009,PBKS
79,Ryan Harris,8,5,4,21,9*,21.0,18,116.66,0,0,0,0,2009,DEC
80,Murali Kartik,10,2,2,21,11*,0.0,20,105.0,0,0,0,0,2009,KKR
81,Joginder Sharma,4,2,1,20,16*,20.0,18,111.11,0,0,0,1,2009,CSK
82,Shadab Jakati,9,2,1,20,13,20.0,15,133.33,0,0,3,0,2009,CSK
83,Rajesh Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2,2009,RCB
84,VVS Laxman,5,5,0,19,10,3.8,33,57.57,0,0,1,1,2009,DEC
85,Niraj Patel,4,2,0,18,14,9.0,38,47.36,0,0,1,0,2009,RR
86,Balachandra Akhil,6,3,1,17,9,8.5,15,113.33,0,0,1,1,2009,RCB
87,Angelo Mathews,1,1,0,16,16,16.0,13,123.07,0,0,2,0,2009,KKR
88,Mahesh Rawat,5,3,3,16,8*,0.0,19,84.21,0,0,1,0,2009,RR
89,Ishant Sharma,11,3,1,16,9,8.0,13,123.07,0,0,1,1,2009,KKR
