POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,season_year,team
90,Anil Kumble,16,7,6,16,7*,16.0,19,84.21,0,0,2,0,2009,RCB
91,Graham Napier,1,1,0,15,15,15.0,16,93.75,0,0,1,0,2009,MI
92,Wasim Jaffer,2,2,0,15,8,7.5,17,88.23,0,0,2,0,2009,RCB
93,Scott Styris,2,1,0,14,14,14.0,8,175.0,0,0,0,1,2009,DEC
94,Saurabh Tiwary,4,3,2,13,6*,13.0,12,108.33,0,0,0,0,2009,MI
95,Manpreet Gony,7,3,1,13,7,6.5,7,185.71,0,0,0,2,2009,CSK
96,Rohan Raje,4,2,1,12,11*,12.0,9,133.33,0,0,0,1,2009,MI
97,Aakash Chopra,2,1,0,11,11,11.0,19,57.89,0,0,2,0,2009,KKR
98,Tyron Henderson,2,2,0,11,11,5.5,16,68.75,0,0,0,1,2009,RR
99,Dillon du Preez,2,1,0,10,10,10.0,13,76.92,0,0,0,0,2009,RCB
100,Shane Harwood,3,2,2,9,6*,0.0,14,64.28,0,0,0,0,2009,RR
101,Siddharth Trivedi,7,3,1,9,6*,4.5,18,50.0,0,0,0,0,2009,RR
102,Dhawal Kulkarni,8,4,2,9,7*,4.5,17,52.94,0,0,0,0,2009,MI
103,Morne Morkel,2,1,0,8,8,8.0,8,100.0,0,0,1,0,2009,RR
104,Ravichandran Ashwin,2,1,0,8,8,8.0,15,53.33,0,0,1,0,2009,CSK
105,Zaheer Khan,6,4,3,8,4*,8.0,11,72.72,0,0,0,0,2009,MI
106,Muttiah Muralitharan,13,4,2,8,4,4.0,8,100.0,0,0,1,0,2009,CSK
107,RP Singh,16,6,2,8,4,2.0,17,47.05,0,0,0,0,2009,DEC
108,Arindam Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,0,2009,KKR
109,Siddharth Chitnis,1,1,0,6,6,6.0,8,75.0,0,0,1,0,2009,RR
110,Paul Valthaty,2,2,0,6,5,3.0,12,50.0,0,0,1,0,2009,RR
111,Shoaib Shaikh,2,1,0,6,6,6.0,7,85.71,0,0,1,0,2009,KKR
112,Shanthakumaran Sreesanth,7,2,2,5,4*,0.0,18,27.77,0,0,1,0,2009,PBKS
113,Lakshmipathy Balaji,13,4,1,4,2*,1.33,10,40.0,0,0,0,0,2009,CSK
114,Kamran Khan,5,1,0,3,3,3.0,5,60.0,0,0,0,0,2009,RR
115,Mashrafe Mortaza,1,1,1,2,2*,0.0,2,100.0,0,0,0,0,2009,KKR
116,Mohammad Ashraful,1,1,0,2,2,2.0,10,20.0,0,0,0,0,2009,MI
117,Thilan Thushara,2,2,1,2,1*,2.0,7,28.57,0,0,0,0,2009,CSK
118,Ashok Dinda,9,2,0,2,2,1.0,3,66.66,0,0,0,0,2009,KKR
119,Taruwar Kohli,2,2,1,1,1,1.0,4,25.0,0,0,0,0,2009,PBKS
120,Pankaj Singh,3,2,1,1,1*,1.0,2,50.0,0,0,0,0,2009,RCB
121,Amit Singh,5,2,1,1,1*,1.0,3,33.33,0,0,0,0,2009,RR
122,Shoaib Ahmed,7,3,1,1,1*,0.5,6,16.66,0,0,0,0,2009,DEC
123,Pragyan Ojha,15,4,1,1,1,0.33,7,14.28,0,0,0,0,2009,DEC
124,Luke Ronchi,1,1,0,0,0*,0.0,2,0.0,0,0,0,0,2009,MI
125,Tanmay Srivastava,2,1,1,0,0*,0.0,1,0.0,0,0,0,0,2009,PBKS
126,Chetanya Nanda,3,1,0,0,0*,0.0,1,0.0,0,0,0,0,2009,MI
127,Dale Steyn,3,2,1,0,0*,0.0,3,0.0,0,0,0,0,2009,RCB
128,Ajantha Mendis,4,1,0,0,0*,0.0,1,0.0,0,0,0,0,2009,KKR
129,KP Appanna,5,1,1,0,0*,0.0,1,0.0,0,0,0,0,2009,RCB
130,Lasith Malinga,13,3,1,0,0*,0.0,1,0.0,0,0,0,0,2009,MI
