POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,season_year,team
1,Robin Uthappa,16,16,1,660,83*,44.0,479,137.78,0,5,74,18,2014,KKR
2,Dwayne Smith,16,16,0,566,79,35.37,416,136.05,0,5,50,34,2014,CSK
3,Glenn Maxwell,16,16,0,552,95,34.5,294,187.75,0,4,48,36,2014,PBKS
4,David Warner,14,14,3,528,90,48.0,375,140.8,0,6,39,24,2014,SRH
5,Suresh Raina,16,16,3,523,87,40.23,358,146.08,0,5,51,19,2014,CSK
6,Virender Sehwag,17,17,0,455,122,26.76,315,144.44,1,1,56,18,2014,PBKS
7,David Miller,16,16,6,446,66,44.6,299,149.16,0,3,34,21,2014,PBKS
8,JP Duminy,14,14,6,410,67*,51.25,305,134.42,0,2,22,20,2014,DC
9,Brendon McCullum,14,14,1,405,71*,31.15,333,121.62,0,3,32,19,2014,CSK
10,Manish Pandey,16,16,3,401,94,30.84,340,117.94,0,2,35,10,2014,KKR
11,AB de Villiers,14,13,2,395,89*,35.9,249,158.63,0,3,26,24,2014,RCB
12,Lendl Simmons,8,8,1,394,100*,56.28,291,135.39,1,3,43,14,2014,MI
13,Rohit Sharma,15,15,2,390,59*,30.0,302,129.13,0,3,31,16,2014,MI
14,Shikhar Dhawan,14,14,1,377,64*,29.0,319,118.18,0,2,49,7,2014,SRH
15,Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,22,28,2014,RCB
16,MS Dhoni,16,15,10,371,57*,74.2,250,148.4,0,1,22,20,2014,CSK
17,Wriddhiman Saha,17,13,2,362,115*,32.9,249,145.38,1,2,33,18,2014,PBKS
18,Ambati Rayudu,15,14,0,361,68,25.78,287,125.78,0,2,31,8,2014,MI
19,Virat Kohli,14,14,1,359,73,27.61,294,122.1,0,2,23,16,2014,RCB
20,Ajinkya Rahane,13,12,0,339,72,28.25,291,116.49,0,3,38,3,2014,RR
21,Sanju Samson,13,13,0,339,74,26.07,273,124.17,0,2,25,17,2014,RR
22,Gautam Gambhir,16,16,1,335,69,22.33,293,114.33,0,3,36,4,2014,KKR
23,Karun Nair,11,11,1,330,73*,33.0,232,142.24,0,3,38,9,2014,RR
24,Dinesh Karthik,14,14,0,325,69,23.21,258,125.96,0,3,28,11,2014,DC
25,Manan Vohra,8,8,0,324,67,40.5,233,139.05,0,1,27,16,2014,PBKS
26,Aaron Finch,13,13,2,309,88*,28.09,263,117.49,0,2,31,9,2014,SRH
27,Faf du Plessis,15,12,1,303,54*,27.54,235,128.93,0,2,26,7,2014,CSK
28,Kevin Pietersen,11,11,1,294,58,29.4,233,126.18,0,1,34,7,2014,DC
29,Kieron Pollard,15,15,7,273,78,34.12,203,134.48,0,1,15,15,2014,MI
30,Yusuf Pathan,15,12,3,268,72,29.77,165,162.42,0,1,15,20,2014,KKR
31,Corey Anderson,12,11,2,265,95*,29.44,181,146.4,0,1,21,15,2014,MI
32,George Bailey,17,16,7,257,40*,28.55,190,135.26,0,0,19,10,2014,PBKS
33,Shane Watson,13,13,1,240,51,20.0,196,122.44,0,2,19,14,2014,RR
34,Naman Ojha,11,10,4,232,79*,38.66,161,144.09,0,1,14,17,2014,SRH
35,Shakib Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1,22,7,2014,KKR
36,Michael Hussey,9,9,0,209,56,23.22,182,114.83,0,2,17,7,2014,MI
37,Murali Vijay,11,11,0,207,52,18.81,192,107.81,0,1,20,5,2014,DC
38,Parthiv Patel,12,12,2,205,57*,20.5,185,110.81,0,1,30,1,2014,RCB
39,Chris Gayle,9,9,0,196,46,21.77,184,106.52,0,0,18,12,2014,RCB
40,James Faulkner,13,12,8,181,41*,45.25,94,192.55,0,0,8,16,2014,RR
41,KL Rahul,11,8,0,166,46,20.75,164,101.21,0,0,12,3,2014,SRH
42,Suryakumar Yadav,16,10,5,164,34,32.8,117,140.17,0,0,16,5,2014,KKR
43,Quinton de Kock,7,7,0,153,48,21.85,130,117.69,0,0,19,4,2014,DC
44,Manoj Tiwary,8,8,3,152,61*,30.4,118,128.81,0,1,14,4,2014,DC
45,Jacques Kallis,8,7,1,151,72,25.16,129,117.05,0,1,13,4,2014,KKR
46,Kedar Jadhav,10,10,5,149,37,29.8,101,147.52,0,0,13,7,2014,DC
47,Steve Smith,10,7,3,147,48*,36.75,110,133.63,0,0,13,4,2014,RR
48,Ravindra Jadeja,16,10,5,146,36*,29.2,110,132.72,0,0,9,5,2014,CSK
49,Aditya Tare,15,12,4,126,24,15.75,98,128.57,0,0,16,3,2014,MI
50,Cheteshwar Pujara,6,6,1,125,40*,25.0,124,100.8,0,0,17,0,2014,PBKS
51,Stuart Binny,13,12,2,123,48*,12.3,121,101.65,0,0,4,5,2014,RR
52,Chidhambaram Gautam,9,9,2,121,33,17.28,111,109.0,0,0,13,5,2014,MI
53,David Hussey,5,4,2,116,50*,58.0,94,123.4,0,1,8,6,2014,CSK
54,Mayank Agarwal,8,8,0,115,31,14.37,91,126.37,0,0,12,3,2014,DC
55,Darren Sammy,10,9,2,108,29,15.42,91,118.68,0,0,4,8,2014,SRH
56,Yogesh Takawale,5,5,0,104,45,20.8,91,114.28,0,0,17,1,2014,RCB
57,Brad Hodge,4,4,1,101,40,33.66,72,140.27,0,0,4,6,2014,RR
