POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,season_year,team
58,Mitchell Starc,14,9,3,85,29,14.16,84,101.19,0,0,9,0,2014,RCB
59,Rishi Dhawan,13,6,4,82,23*,41.0,75,109.33,0,0,8,1,2014,PBKS
60,Sachin Rana,9,7,4,73,19*,24.33,65,112.3,0,0,7,1,2014,RCB
61,Venugopal Rao,7,5,2,71,27,23.66,63,112.69,0,0,8,0,2014,SRH
62,Shaun Marsh,2,2,0,70,40,35.0,52,134.61,0,0,7,3,2014,PBKS
63,Rajat Bhatia,12,7,2,67,23,13.4,53,126.41,0,0,4,3,2014,RR
64,Axar Patel,17,8,2,62,42*,10.33,60,103.33,0,0,6,1,2014,PBKS
65,Ross Taylor,4,4,1,59,43*,19.66,59,100.0,0,0,6,0,2014,DC
66,Chris Lynn,2,2,0,58,45,29.0,49,118.36,0,0,5,3,2014,KKR
67,Mitchell Johnson,14,8,5,56,16*,18.66,50,112.0,0,0,4,3,2014,PBKS
68,Irfan Pathan,10,6,4,55,23*,27.5,54,101.85,0,0,5,0,2014,SRH
69,Ryan ten Doeschate,10,7,3,52,25*,13.0,33,157.57,0,0,3,4,2014,KKR
70,Albie Morkel,7,5,2,45,16,15.0,41,109.75,0,0,1,3,2014,RCB
71,Ravichandran Ashwin,16,6,3,45,14,15.0,45,100.0,0,0,4,0,2014,CSK
72,Abhishek Nayar,5,4,1,43,23,14.33,47,91.48,0,0,5,1,2014,RR
73,Jimmy Neesham,4,3,0,42,22,14.0,46,91.3,0,0,3,1,2014,DC
74,Karn Sharma,14,8,4,42,17*,10.5,29,144.82,0,0,1,3,2014,SRH
75,Ben Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0,2014,MI
76,Rilee Rossouw,3,3,0,39,24,13.0,41,95.12,0,0,2,2,2014,RCB
77,Kevon Cooper,5,5,2,39,32,13.0,26,150.0,0,0,2,3,2014,RR
78,Dhawal Kulkarni,8,2,2,35,28*,0.0,25,140.0,0,0,1,2,2014,RR
79,Varun Aaron,10,3,3,35,17*,0.0,34,102.94,0,0,2,1,2014,RCB
80,Mithun Manhas,12,5,3,35,13*,17.5,23,152.17,0,0,3,1,2014,CSK
81,Ankit Sharma,3,2,0,34,30,17.0,30,113.33,0,0,4,1,2014,RR
82,Laxmi Ratan Shukla,5,3,0,31,21,10.33,38,81.57,0,0,2,1,2014,DC
83,Piyush Chawla,11,5,2,31,17*,10.33,19,163.15,0,0,4,1,2014,KKR
84,Vijay Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1,2014,RCB
85,Harbhajan Singh,14,7,2,28,10*,5.6,25,112.0,0,0,2,2,2014,MI
86,Mandeep Singh,3,3,0,24,21,8.0,26,92.3,0,0,2,0,2014,PBKS
87,Dale Steyn,14,4,1,22,12,7.33,26,84.61,0,0,1,0,2014,SRH
88,Rahul Shukla,3,3,2,18,14,18.0,21,85.71,0,0,2,0,2014,DC
89,Jason Holder,1,1,0,16,16,16.0,12,133.33,0,0,2,1,2014,SRH
90,Nic Maddinson,2,2,0,16,12,8.0,14,114.28,0,0,3,0,2014,RCB
91,Rahul Tewatia,3,1,0,16,16,16.0,13,123.07,0,0,0,1,2014,RR
92,Ravi Rampaul,2,1,0,13,13,13.0,13,100.0,0,0,0,1,2014,RCB
93,Harshal Patel,3,3,1,13,6,6.5,7,185.71,0,0,1,1,2014,RCB
94,Shreyas Gopal,4,1,0,11,11,11.0,10,110.0,0,0,1,0,2014,MI
95,Sunil Narine,16,5,3,10,6,5.0,14,71.42,0,0,0,0,2014,KKR
96,Moises Henriques,4,2,0,9,9,4.5,14,64.28,0,0,1,0,2014,SRH
97,Ben Cutting,1,1,0,8,8,8.0,6,133.33,0,0,0,1,2014,RR
98,Dwayne Bravo,1,1,1,8,8*,0.0,3,266.66,0,0,0,1,2014,CSK
99,Imran Tahir,6,2,0,8,4,4.0,10,80.0,0,0,2,0,2014,DC
100,Zaheer Khan,6,4,3,8,7*,8.0,7,114.28,0,0,0,1,2014,MI
101,Shahbaz Nadeem,11,3,1,7,3*,3.5,19,36.84,0,0,0,0,2014,DC
102,Shivam Sharma,4,2,1,5,4,5.0,3,166.66,0,0,1,0,2014,PBKS
103,Pravin Tambe,13,2,0,5,3,2.5,9,55.55,0,0,0,0,2014,RR
104,Dishant Yagnik,1,1,1,4,4*,0.0,6,66.66,0,0,0,0,2014,RR
105,Tim Southee,3,1,0,4,4,4.0,4,100.0,0,0,1,0,2014,RR
106,Abu Nechim,4,1,1,4,4*,0.0,1,400.0,0,0,1,0,2014,RCB
107,Ashok Dinda,9,3,2,4,2*,4.0,12,33.33,0,0,0,0,2014,RCB
108,Vinay Kumar,9,4,2,4,4,2.0,6,66.66,0,0,0,0,2014,KKR
109,Amit Mishra,10,2,1,4,4*,4.0,7,57.14,0,0,0,0,2014,SRH
110,Morne Morkel,12,2,2,4,4*,0.0,3,133.33,0,0,0,0,2014,KKR
111,Manvinder Bisla,1,1,0,3,3,3.0,9,33.33,0,0,0,0,2014,KKR
112,Srikkanth Anirudha,1,1,0,3,3,3.0,5,60.0,0,0,0,0,2014,SRH
113,Mohammad Shami,12,4,2,3,1*,1.5,7,42.85,0,0,0,0,2014,DC
114,Unmukt Chand,1,1,0,2,2,2.0,9,22.22,0,0,0,0,2014,RR
115,Andre Russell,2,2,0,2,1,1.0,8,25.0,0,0,0,0,2014,KKR
116,Siddarth Kaul,5,1,1,2,2*,0.0,2,100.0,0,0,0,0,2014,DC
117,Wayne Parnell,8,2,1,2,2,2.0,2,100.0,0,0,0,0,2014,DC
118,Lasith Malinga,10,1,0,2,2,2.0,4,50.0,0,0,0,0,2014,MI
119,Sandeep Sharma,11,1,1,2,2*,0.0,5,40.0,0,0,0,0,2014,PBKS
120,Umesh Yadav,12,1,0,2,2,2.0,4,50.0,0,0,0,0,2014,KKR
121,Marchant de Lange,1,1,0,1,1,1.0,2,50.0,0,0,0,0,2014,MI
122,Vikramjeet Malik,1,1,1,1,1*,0.0,2,50.0,0,0,0,0,2014,RR
123,Praveen Kumar,3,1,0,1,1,1.0,2,50.0,0,0,0,0,2014,MI
124,Karanveer Singh,5,1,1,1,1*,0.0,1,100.0,0,0,0,0,2014,PBKS
125,Kane Richardson,7,1,0,1,1,1.0,2,50.0,0,0,0,0,2014,RR
126,Jaydev Unadkat,9,2,1,1,1*,1.0,6,16.66,0,0,0,0,2014,DC
127,Lakshmipathy Balaji,9,2,1,1,1*,1.0,3,33.33,0,0,0,0,2014,PBKS
128,Jasprit Bumrah,11,2,2,1,1*,0.0,3,33.33,0,0,0,0,2014,MI
129,Bhuvneshwar Kumar,14,2,1,1,1,1.0,4,25.0,0,0,0,0,2014,SRH
130,Yuzvendra Chahal,14,2,2,1,1*,0.0,1,100.0,0,0,0,0,2014,RCB
131,Mohit Sharma,16,1,1,1,1*,0.0,3,33.33,0,0,0,0,2014,CSK
132,Beuran Hendricks,3,1,0,0,0*,0.0,1,0.0,0,0,0,0,2014,PBKS
