POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,season_year,team
1,Faf Du Plessis,7,7,1,405,84,67.50,245,165.3,0,5,33,25,2023,RCB
2,Devon Conway,7,7,1,314,83,52.33,219,143.37,0,4,33,12,2023,CSK
3,David Warner,7,7,0,306,65,43.71,256,119.53,0,4,44,1,2023,DC
4,Shubman Gill,7,7,0,284,67,40.57,199,142.71,0,3,32,6,2023,GT
5,Virat Kohli,7,7,1,279,82*,46.50,197,141.62,0,4,25,11,2023,RCB
6,Ruturaj Gaikwad,7,7,1,270,92,45.00,183,147.54,0,2,14,17,2023,CSK
7,K L Rahul,7,7,0,262,74,37.43,230,113.91,0,2,27,3,2023,LSG
8,Venkatesh Iyer,7,7,0,254,104,36.29,159,159.74,1,1,21,16,2023,KKR
9,Glenn Maxwell,7,7,1,253,77,42.17,134,188.8,0,3,13,23,2023,RCB
10,Jos Buttler,7,7,0,244,79,34.86,168,145.23,0,3,24,9,2023,RR
11,Kyle Mayers,7,7,0,243,73,34.71,161,150.93,0,3,19,16,2023,LSG
12,Rinku Singh,7,7,3,233,58*,58.25,148,157.43,0,2,13,17,2023,KKR
13,Shikhar Dhawan,4,4,2,233,99*,116.50,159,146.54,0,2,29,8,2023,PBKS
14,Yashasvi Jaiswal,7,7,0,227,60,32.43,163,139.26,0,2,32,6,2023,RR
15,Tilak Varma,7,7,1,219,84*,36.50,142,154.22,0,1,17,14,2023,MI
16,Ajinkya Rahane,5,5,1,209,71*,52.25,105,199.04,0,2,18,11,2023,CSK
17,Cameron Green,7,7,3,199,67,49.75,133,149.62,0,2,15,9,2023,MI
18,Shimron Hetmyer,7,7,4,189,56*,63.00,113,167.25,0,1,7,15,2023,RR
19,Shivam Dube,7,6,0,184,52,30.67,117,157.26,0,2,8,15,2023,CSK
20,Ishan Kishan,7,7,0,183,58,26.14,141,129.78,0,1,22,7,2023,MI
21,Axar Patel,7,7,1,182,54,30.33,134,135.82,0,1,15,9,2023,DC
22,Sanju Samson,7,7,0,181,60,25.86,114,158.77,0,2,13,12,2023,RR
23,Nitish Rana,7,7,0,181,75,25.86,129,140.31,0,1,17,11,2023,KKR
24,Rohit Sharma,7,7,0,181,65,25.86,134,135.07,0,1,20,10,2023,MI
25,Sai Sudharsan,5,5,1,176,62*,44.00,142,123.94,0,2,14,4,2023,GT
26,Nicholas Pooran,7,7,1,171,62,28.50,92,185.86,0,1,11,15,2023,LSG
27,Devdutt Padikkal,6,6,0,165,52,27.50,137,120.43,0,1,19,3,2023,RR
28,Mayank Agarwal,7,7,0,164,49,23.43,147,111.56,0,0,18,1,2023,SRH
29,Harry Brook,7,7,1,163,100*,27.17,128,127.34,1,0,21,3,2023,SRH
30,Rahul Tripathi,7,7,1,160,74*,26.67,142,112.67,0,1,18,4,2023,SRH
31,Simran Singh,7,7,0,159,60,22.71,100,159.0,0,1,14,11,2023,PBKS
32,Vijay Shankar,5,5,1,148,63*,37.00,96,154.16,0,1,11,7,2023,GT
33,David Miller,6,6,3,148,46,49.33,101,146.53,0,0,8,8,2023,GT
34,Suryakumar Yadav,7,7,0,146,57,20.86,85,171.76,0,1,15,8,2023,MI
35,Jitesh Sharma,7,7,0,145,41,20.71,97,149.48,0,0,11,10,2023,PBKS
36,Marcus Stoinis,7,7,1,144,65,24.00,99,145.45,0,1,10,9,2023,LSG
37,Sam Curran,7,7,2,142,55,28.40,103,137.86,0,1,11,8,2023,PBKS
38,Wriddhiman Saha,7,7,0,141,47,20.14,106,133.01,0,0,19,3,2023,GT
39,Manish Pandey,5,5,0,131,50,26.20,107,122.42,0,1,14,1,2023,DC
40,Hardik Pandya,6,6,0,128,66,21.33,109,117.43,0,1,8,5,2023,GT
41,Aiden Markram,6,6,1,124,50,24.80,82,151.21,0,1,10,6,2023,SRH
42,Tim David,7,7,3,113,31,28.25,79,143.03,0,0,4,7,2023,MI
43,Andre Russell,7,7,2,107,38*,21.40,76,140.78,0,0,7,8,2023,KKR
44,Jason Roy,2,2,0,104,61,52.00,65,160.0,0,1,10,6,2023,KKR
45,Krunal Pandya,7,7,2,103,34,20.60,89,115.73,0,0,9,4,2023,LSG
46,Rahmanullah Gurbaz,5,5,0,102,57,20.40,87,117.24,0,1,10,5,2023,KKR
47,Shardul Thakur,5,5,1,101,68,25.25,51,198.03,0,1,12,4,2023,KKR
48,Heinrich Klaasen,5,4,1,100,36,33.33,57,175.43,0,0,10,4,2023,SRH
49,Dhruv Jurel,6,6,3,96,34*,32.00,51,188.23,0,0,7,6,2023,RR
50,Matthew Short,5,5,0,90,36,18.00,66,136.36,0,0,13,3,2023,PBKS
51,Abhinav Manohar,4,4,0,86,42,21.50,47,182.97,0,0,6,6,2023,GT
52,Ayush Badoni,7,6,1,85,30,17.00,65,130.76,0,0,5,2,2023,LSG
53,Ambati Rayudu,7,6,2,83,27*,20.75,59,140.67,0,0,7,4,2023,CSK
54,Sikandar Raza,4,4,0,79,57,19.75,62,127.41,0,1,5,4,2023,PBKS
55,Shahrukh Khan,7,7,3,78,23*,19.50,44,177.27,0,0,6,5,2023,PBKS
56,Harpreet Bhatia,3,3,0,77,41,25.67,59,130.5,0,0,8,3,2023,PBKS
57,Moeen Ali,6,5,2,74,23,24.67,55,134.54,0,0,8,3,2023,CSK
58,Abhishek Sharma,5,5,0,72,34,14.40,53,135.84,0,0,6,3,2023,SRH
59,Bhanuka Rajapaksa,3,3,1,71,50,35.50,59,120.33,0,1,6,2,2023,PBKS
60,Nehal Wadera,6,4,0,67,40,16.75,39,171.79,0,0,5,5,2023,MI
61,Abdul Samad,3,3,2,62,32*,62.00,54,114.81,0,0,4,3,2023,SRH
62,MS Dhoni,7,5,4,61,32*,61.00,31,196.77,0,0,2,6,2023,CSK
63,Dinesh Karthik,7,7,1,61,28,10.17,45,135.55,0,0,7,1,2023,RCB
64,Washington Sundar,7,5,1,60,24*,15.00,60,100.0,0,0,6,0,2023,SRH
65,Ravindra Jadeja,7,5,1,57,25*,14.25,39,146.15,0,0,1,5,2023,CSK
66,Ravichandran Ashwin,7,6,2,56,30,14.00,39,143.58,0,0,4,3,2023,RR
67,Riyan Parag,5,5,1,54,20,13.50,48,112.5,0,0,3,3,2023,RR
68,Lalit Yadav,4,4,1,48,38,16.00,42,114.28,0,0,5,0,2023,DC
69,Prithvi Shaw,6,6,0,47,15,7.83,40,117.5,0,0,8,0,2023,DC
70,Rilee Rossouw,3,3,0,44,30,14.67,33,133.33,0,0,5,1,2023,DC
71,Sarfaraz Khan,3,3,0,44,30,14.67,52,84.61,0,0,3,1,2023,DC
72,Rahul Tewatia,7,5,5,43,20*,-,24,179.16,0,0,2,4,2023,GT
73,Jagadeesan Narayan,4,4,0,43,36,10.75,37,116.21,0,0,6,1,2023,KKR
74,Mahipal Lomror,5,4,1,41,26,13.67,38,107.89,0,0,2,2,2023,RCB
