POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,season_year,team
75,Deepak Hooda,7,7,0,41,17,5.86,51,80.39,0,0,1,1,2023,LSG
76,Shahbaz Ahmed,7,5,2,40,20*,13.33,34,117.64,0,0,3,1,2023,RCB
77,Anrich Nortje,6,5,2,34,23*,11.33,22,154.54,0,0,6,0,2023,DC
78,Aman Khan,5,5,0,34,18,6.80,27,125.92,0,0,2,2,2023,DC
79,Atharva Taide,3,3,0,33,29,11.00,22,150.0,0,0,4,1,2023,PBKS
80,Harpreet Brar,7,5,1,33,13,8.25,26,126.92,0,0,3,1,2023,PBKS
81,Abishek Porel,4,4,0,33,20,8.25,31,106.45,0,0,1,2,2023,DC
82,Marco Jansen,5,3,2,32,17*,32.00,31,103.22,0,0,4,0,2023,SRH
83,Anmolpreet Singh,1,1,0,31,31,31.00,26,119.23,0,0,3,1,2023,SRH
84,Mitchell Marsh,5,5,0,31,25,6.20,33,93.93,0,0,6,0,2023,DC
85,Krishnappa Gowtham,3,3,2,24,17*,24.00,14,171.42,0,0,0,2,2023,LSG
86,David Willey,3,2,2,24,20*,-,22,109.09,0,0,3,0,2023,RCB
87,Hrithik Shokeen,6,2,1,23,18*,23.00,16,143.75,0,0,4,0,2023,MI
88,Piyush Chawla,7,2,1,23,18,23.00,18,127.77,0,0,1,1,2023,MI
89,Adil Rashid,2,2,0,22,18,11.00,16,137.5,0,0,2,1,2023,SRH
90,Kuldeep Yadav,7,6,5,21,7*,21.00,28,75.0,0,0,2,0,2023,DC
91,Umran Malik,6,2,1,19,19*,19.00,8,237.5,0,0,1,2,2023,SRH
92,Suyash S Prabhudessai,3,2,0,19,19,9.50,13,146.15,0,0,0,2,2023,RCB
93,Umesh Yadav,7,5,3,19,6*,9.50,18,105.55,0,0,1,0,2023,KKR
94,Michael Bracewell,2,1,0,19,19,19.00,18,105.55,0,0,1,1,2023,RCB
95,Akash Deep,2,1,0,17,17,17.00,8,212.5,0,0,2,1,2023,RCB
96,Arshad Khan,3,2,1,17,15*,17.00,13,130.76,0,0,0,1,2023,MI
97,Anuj Rawat,3,2,1,16,15*,16.00,27,59.25,0,0,1,0,2023,RCB
98,Ben Stokes,2,2,0,15,8,7.50,14,107.14,0,0,2,0,2023,CSK
99,Mandeep Singh,3,3,0,14,12,4.67,16,87.5,0,0,0,1,2023,KKR
100,Rashid Khan,7,3,2,13,10*,13.00,5,260.0,0,0,1,1,2023,GT
101,Arjun Tendulkar,4,1,0,13,13,13.00,9,144.44,0,0,0,1,2023,MI
102,Sunil Narine,7,7,3,13,7*,3.25,16,81.25,0,0,1,1,2023,KKR
103,Liam Livingstone,2,2,0,12,10,6.00,16,75.0,0,0,0,1,2023,PBKS
104,Mark Wood,4,2,1,11,10*,11.00,5,220.0,0,0,1,1,2023,LSG
105,Jaydev Unadkat,3,1,0,9,9,9.00,7,128.57,0,0,1,0,2023,LSG
106,Glenn Phillips,1,1,0,8,8,8.00,6,133.33,0,0,0,1,2023,SRH
107,Wanindu Hasaranga,4,2,1,8,6,8.00,9,88.88,0,0,0,0,2023,RCB
108,Bhuvneshwar Kumar,7,3,1,8,6,4.00,15,53.33,0,0,0,0,2023,SRH
109,Rovman Powell,3,3,0,7,4,2.33,9,77.77,0,0,1,0,2023,DC
110,Ravi Bishnoi,7,3,3,6,3*,-,4,150.0,0,0,0,0,2023,LSG
111,Harshal Patel,7,2,0,6,6,3.00,6,100.0,0,0,0,1,2023,RCB
112,Phil Salt,2,2,0,5,5,2.50,4,125.0,0,0,1,0,2023,DC
113,Ripal Patel,1,1,0,5,5,5.00,6,83.33,0,0,0,0,2023,DC
114,Tristan Stubbs,1,1,0,5,5,5.00,10,50.0,0,0,0,0,2023,MI
115,Chetan Sakariya,1,1,0,4,4,4.00,4,100.0,0,0,1,0,2023,DC
116,Liton Das,1,1,0,4,4,4.00,4,100.0,0,0,1,0,2023,KKR
117,Anukul Roy,2,2,0,4,4,2.00,6,66.66,0,0,1,0,2023,KKR
118,Jason Behrendorff,6,1,1,3,3*,-,4,75.0,0,0,0,0,2023,MI
119,Yash Dhull,2,2,0,3,2,1.50,8,37.5,0,0,0,0,2023,DC
120,Mayank Markande,5,1,1,2,2*,-,2,100.0,0,0,0,0,2023,SRH
121,Mitchell Santner,3,2,2,2,1*,-,4,50.0,0,0,0,0,2023,CSK
122,Wayne Parnell,4,1,0,2,2,2.00,5,40.0,0,0,0,0,2023,RCB
123,Mustafizur Rahman,2,1,1,1,1*,-,1,100.0,0,0,0,0,2023,DC
124,Ishant Sharma,2,1,1,1,1*,-,1,100.0,0,0,0,0,2023,DC
125,Rishi Dhawan,3,1,0,1,1,1.00,1,100.0,0,0,0,0,2023,PBKS
126,Abdul Basith,1,1,1,1,1*,-,1,100.0,0,0,0,0,2023,RR
127,Adam Zampa,2,1,0,1,1,1.00,1,100.0,0,0,0,0,2023,RR
128,Mohammed Siraj,7,1,1,1,1*,-,1,100.0,0,0,0,0,2023,RCB
129,Mukesh Kumar,6,2,2,1,1*,-,2,50.0,0,0,0,0,2023,DC
130,Mohit Rathee,1,1,1,1,1*,-,2,50.0,0,0,0,0,2023,PBKS
131,David Wiese,1,1,0,1,1,1.00,2,50.0,0,0,0,0,2023,KKR
132,Jofra Archer,2,1,1,1,1*,-,2,50.0,0,0,0,0,2023,MI
133,Jason Holder,6,2,1,1,1*,1.00,2,50.0,0,0,0,0,2023,RR
134,Yudhvir Singh,2,2,0,1,1,0.50,2,50.0,0,0,0,0,2023,LSG
135,Karn Sharma,3,1,0,1,1,1.00,3,33.33,0,0,0,0,2023,RCB
136,Nathan Ellis,5,2,0,1,1,0.50,7,14.28,0,0,0,0,2023,PBKS
137,Varun Chakaravarthy,7,2,1,1,1,1.00,9,11.11,0,0,0,0,2023,KKR
